Date,Open,High,Low,Close,Adj Close,Volume
2001-05-01,28.799999,29.430000,24.049999,24.350000,14.357098,145986800
2001-06-01,24.299999,26.150000,23.500000,24.549999,14.475025,118509600
2001-07-01,24.559999,25.930000,24.250000,25.469999,15.017467,84425600
2001-08-01,25.150000,25.350000,19.740000,19.870001,11.715630,131204300
2001-09-01,19.930000,20.719999,14.700000,17.350000,10.351731,129333500
2001-10-01,17.350000,18.770000,15.880000,16.049999,9.576097,126336100
2001-11-01,16.030001,19.080000,15.970000,18.940001,11.406997,110822200
2001-12-01,18.450001,18.459999,14.830000,15.720000,9.467686,144339500
2002-01-01,15.940000,17.150000,14.010000,15.300000,9.214736,344648200
2002-02-01,14.520000,15.780000,13.900000,14.880000,9.023544,180655600
2002-03-01,15.000000,17.290001,14.930000,16.490000,9.999883,203611100
2002-04-01,15.910000,16.750000,14.880000,16.000000,9.702735,159584500
2002-05-01,15.970000,18.230000,15.600000,17.650000,10.703331,181075200
2002-06-01,17.700001,17.840000,15.250000,16.000000,9.763760,149817300
2002-07-01,16.000000,16.240000,11.520000,13.470000,8.219865,235272400
2002-08-01,13.370000,13.520000,10.650000,11.770000,7.237295,200953900
2002-09-01,11.500000,11.510000,9.240000,9.800000,6.025956,235740200
2002-10-01,9.680000,9.990000,6.900000,8.460000,5.201998,399858500
2002-11-01,8.430000,11.500000,8.310000,11.380000,7.082303,236067200
2002-12-01,11.650000,11.910000,9.300000,9.300000,5.787821,186738200
2003-01-01,9.500000,10.800000,8.920000,9.110000,5.669578,181561300
2003-02-01,9.110000,9.310000,8.000000,8.320000,5.232601,138109200
2003-03-01,8.380000,8.420000,6.580000,7.520000,4.729465,338753100
2003-04-01,7.300000,10.970000,7.300000,10.300000,6.477859,326044500
2003-05-01,10.320000,10.550000,9.450000,10.500000,6.668258,222804200
2003-06-01,10.650000,11.710000,10.250000,10.990000,6.979439,244649400
2003-07-01,10.900000,11.650000,10.430000,11.060000,7.023899,198436000
2003-08-01,11.080000,11.680000,10.450000,11.560000,7.409852,153898800
2003-09-01,11.730000,12.530000,10.650000,10.770000,6.903470,185932300
2003-10-01,10.770000,12.510000,10.410000,12.130000,7.775218,242877500
2003-11-01,12.230000,13.310000,11.960000,13.200000,8.529868,219813100
2003-12-01,13.290000,17.330000,12.820000,16.000000,10.339233,280253200
2004-01-01,16.100000,17.340000,14.330000,14.540000,9.395778,254929800
2004-02-01,14.100000,14.770000,13.300000,13.750000,8.941371,225828200
